,genre,duration_ms,danceability,energy,key,age,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,cluster
2935,rap boricua,226553.868852459,0.773672131147541,0.7530983606557374,5.426229508196721,14.726611273298898,-5.530983606557378,0.19915737704918032,0.2669852459016393,0.00478746655737705,0.17089016393442624,0.7390491803278688,103.01562295081968,4.049180327868853,6
2936,easycore,161134.34782608695,0.3924782608695653,0.8619130434782609,4.608695652173913,10.135080405002977,-5.218782608695651,0.08687826086956521,0.03707549434782609,0.04731147043478261,0.19176521739130434,0.4858260869565218,132.86139130434785,3.9565217391304346,4
2937,latin tech house,326047.95,0.7333000000000001,0.8065999999999999,6.0,4.134246575342466,-8.440150000000001,0.05469999999999999,0.004002025,0.8332499999999999,0.16961500000000002,0.30340999999999996,124.67435,4.0,5
2938,swamp blues,223872.3103448276,0.6779137931034483,0.4944017241379311,5.724137931034483,48.578365611714695,-11.98401724137931,0.05339655172413793,0.3963948275862068,0.08485999051724137,0.17822931034482756,0.6732068965517242,111.19579310344827,3.9310344827586206,3
2939,indonesian ska,229872.88888888888,0.6178333333333333,0.831462962962963,5.277777777777778,17.940334855403346,-4.6768888888888895,0.0571074074074074,0.0929785,0.06032125000000001,0.15744444444444447,0.7456851851851852,126.16087037037039,4.0,6
2940,christian indie,243552.12,0.46391999999999994,0.55636,4.72,9.616547945205479,-6.7693200000000004,0.039252,0.3454052,0.026049351599999996,0.132588,0.30618400000000007,123.57428,3.88,3
2941,lowlands hardcore,133432.83333333334,0.4135,0.751,2.6666666666666665,6.758447488584475,-11.936166666666665,0.04416666666666667,0.0024786666666666668,0.08959,0.15888333333333332,0.5791666666666667,112.77333333333333,4.0,4
2942,family gospel,279107.0,0.5175000000000001,0.631,3.0,16.804109589041097,-7.093500000000001,0.04895000000000001,0.15907,1.1e-06,0.47709999999999997,0.323,134.4135,4.0,4
2943,vietnamese bolero,307806.8333333333,0.5770000000000001,0.3541666666666667,3.3333333333333335,29.730593607305938,-14.069666666666668,0.032516666666666666,0.5175000000000001,2.438666666666666e-05,0.20696666666666666,0.4081666666666666,91.54833333333333,4.0,2
2944,deep smooth jazz,347171.9,0.5746,0.45500000000000007,4.5,29.550958904109585,-14.628899999999998,0.041960000000000004,0.47492,0.54782258,0.14637,0.5523,114.5391,4.0,2
2945,deep rai,256818.5,0.7302,0.7332,6.9,7.501643835616439,-6.959999999999999,0.10132000000000001,0.10673099999999999,0.002815386,0.14167999999999997,0.7123999999999999,103.65790000000001,4.0,6
2946,russian death metal,422252.0,0.611,0.898,8.0,9.093150684931507,-5.375,0.0494,0.0106,3.18e-05,0.205,0.375,110.011,4.0,4
2947,musica etnica,247925.4,0.5784,0.4748,5.4,30.158356164383566,-10.4984,0.04864,0.29668,0.15580694,0.12274,0.409,127.20540000000001,4.0,2
2948,yuri,230200.0,0.515,0.984,3.0,10.252054794520548,-2.632,0.0926,0.277,0.000162,0.365,0.671,174.941,4.0,3
2949,soul blues,214573.16566005177,0.5900871440897326,0.447988947368421,5.087144089732528,50.14002387509302,-10.849031924072476,0.05911837791199309,0.5091322251941328,0.04536753540120794,0.20805979292493532,0.6315735979292493,118.63378170836927,3.71786022433132,1
2950,japanese alternative rock,244454.31433224757,0.47161091205211725,0.7948518892508143,5.324104234527687,13.495484360358754,-4.698726384364821,0.06436579804560259,0.09994549929967426,0.0753817019218241,0.18301270358306188,0.5153980456026058,129.0408631921824,3.965798045602606,4
2951,progressive electro house,201376.8507751938,0.6074806201550386,0.841468023255814,5.437015503875969,5.723399171710736,-5.571927325581395,0.07989253875968992,0.05932863481589147,0.2774798279844961,0.26495377906976736,0.4085014534883721,127.2055261627907,3.9806201550387597,4
2952,indonesian jazz,238818.2276422764,0.567418699186992,0.45070528455284553,5.0772357723577235,12.710669339570106,-9.314373983739836,0.04488414634146342,0.5988095934959351,0.028513895650406504,0.15895609756097562,0.4655658536585366,112.78444715447154,3.926829268292683,2
2953,pinoy indie,258744.16860465117,0.5535116279069767,0.5359872093023256,5.122093023255814,9.418588722523097,-8.308453488372093,0.05213604651162789,0.39728311511627906,0.018005988720930233,0.17028255813953488,0.4397470930232559,118.27356976744184,3.947674418604651,3
2954,indie pop rap,210160.3298969072,0.6747835051546393,0.702556701030928,5.247422680412371,6.759130066374807,-6.014247422680413,0.164359793814433,0.10082811340206185,0.00015227237113402063,0.20463298969072172,0.5243845360824742,119.29237113402063,3.9896907216494846,6
2955,classic venezuelan pop,218653.62017804154,0.6106350148367953,0.5147080118694363,5.246290801186944,33.11199544733953,-10.89638278931751,0.06404243323442137,0.5680525222551929,0.03796439127596439,0.180680118694362,0.7380801186943619,118.55901483679524,3.741839762611276,2
2956,puerto rican rock,262756.92,0.67484,0.7575,5.22,14.007178082191778,-6.78154,0.18452199999999996,0.2902268,0.0013411890000000002,0.22853400000000001,0.71392,116.56246000000002,3.96,6
2957,gabba,261866.45138888888,0.5413819444444444,0.9246597222222221,5.944444444444445,9.365258751902587,-5.304395833333334,0.14512222222222226,0.06107681597222222,0.23835455500000002,0.2927215277777778,0.30353125000000003,148.4398611111111,3.9375,4
2958,balfolk,226483.5,0.40025000000000005,0.4405,4.75,24.803424657534247,-8.874500000000001,0.047375,0.67225,0.145483575,0.16075,0.5013,128.34300000000002,3.5,2
2959,shehnai,419907.0,0.221,0.406,2.0,32.57534246575342,-11.231,0.0339,0.806,0.0633,0.523,0.214,180.994,4.0,2
